column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	9715853	9715853	0.823397	1.000000	0.823397	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	85272	85272	46.908716	1.000000	46.908716	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:354	1000000	138409995	142896030	142896030	0.968606	1.000000	0.968606	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10082	10082	396.746677	1.000000	396.746677	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	7398835	7398835	1.081251	1.000000	1.081251	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:118	1000000	4000000	63966	63966	62.533221	1.000000	62.533221	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10121	10121	395.217864	1.000000	395.217864	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	905270	905270	4.418571	1.000000	4.418571	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	438689	438689	9.118077	1.000000	9.118077	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	1193394	1193394	6.703570	1.000000	6.703570	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10082	10082	396.746677	1.000000	396.746677	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	235064	235064	17.016642	1.000000	17.016642	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	229901	229901	17.398793	1.000000	17.398793	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:246	1000000	88562192	92660809	92660809	0.955768	1.000000	0.955768	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:226	1000000	79583339	83652425	83652425	0.951357	1.000000	0.951357	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	98282	98282	40.699212	1.000000	40.699212	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	487168	487168	8.210720	1.000000	8.210720	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	360851	360851	11.084908	1.000000	11.084908	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	160450	160450	24.929885	1.000000	24.929885	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	78214	78214	51.141739	1.000000	51.141739	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	351823	351823	11.369353	1.000000	11.369353	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	363106	363106	11.016067	1.000000	11.016067	3407277
ResolutionDepth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	116944	116944	34.204406	1.000000	34.204406	1994256
FlashMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	92113	92113	43.424924	1.000000	43.424924	1923540
FlashMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	221192	221192	18.083837	1.000000	18.083837	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	3354477	7361424	7361424	0.455683	1.000000	0.455683	3354477
NetMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	42300	42300	94.562648	1.000000	94.562648	1000000
NetMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	37634	37634	106.286868	1.000000	106.286868	1000000
UserAgentMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	286631	286631	13.955225	1.000000	13.955225	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	3767530	7774492	7774492	0.484601	1.000000	0.484601	3777059
CookieEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	11334	11334	352.920416	1.000000	352.920416	1000000
JavascriptEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	11730	11730	341.005968	1.000000	341.005968	1000000
IsMobile	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	35497	35497	112.685579	1.000000	112.685579	1000000
MobilePhone	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	38831	38831	103.010481	1.000000	103.010481	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	81583	4088302	4088302	0.019955	1.000000	0.019955	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	0	4004588	4004588	0.000000	1.000000	0.000000	0
IPNetworkID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	750997	750997	5.326253	1.000000	5.326253	6865544
TraficSourceID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	296103	296103	13.508813	1.000000	13.508813	1728158
SearchEngineID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	170371	170371	23.478174	1.000000	23.478174	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	3528017	7543514	7543514	0.467689	1.000000	0.467689	3528108
AdvEngineID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	40390	40390	99.034414	1.000000	99.034414	1004631
IsArtifical	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	86663	86663	46.155799	1.000000	46.155799	1000000
WindowClientWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	697864	697864	5.731776	1.000000	5.731776	3825106
WindowClientHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	760900	760900	5.256933	1.000000	5.256933	3055745
ClientTimeZone	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	165500	165500	24.169184	1.000000	24.169184	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	7267963	7267963	1.100721	1.000000	1.100721	19000000
SilverlightVersion1	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	157983	157983	25.319180	1.000000	25.319180	1000017
SilverlightVersion2	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	94520	94520	42.319086	1.000000	42.319086	1000000
SilverlightVersion3	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	235120	235120	17.012589	1.000000	17.012589	2728282
SilverlightVersion4	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10190	10190	392.541708	1.000000	392.541708	1000000
PageCharset	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	13587860	17601044	17601044	0.771992	1.000000	0.771992	13587860
CodeVersion	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	12322	12322	324.622626	1.000000	324.622626	3997297
IsLink	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	59483	59483	67.246104	1.000000	67.246104	1000000
IsDownload	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	13580	13580	294.550810	1.000000	294.550810	1000000
IsNotBounce	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	21510	21510	185.960019	1.000000	185.960019	1000000
FUniqID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	1150258	1150258	6.954961	1.000000	6.954961	18077896
OriginalURL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:134	1000000	27797671	31880391	31880391	0.871936	1.000000	0.871936	27797732
