column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	9716273	9716273	0.823361	1.000000	0.823361	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	85294	85294	46.896616	1.000000	46.896616	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:354	1000000	138409995	142900939	142900939	0.968573	1.000000	0.968573	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10076	10076	396.982930	1.000000	396.982930	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	8000000	8009314	8009314	0.998837	1.000000	0.998837	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:118	1000000	4000000	4007432	4007432	0.998145	1.000000	0.998145	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10116	10116	395.413207	1.000000	395.413207	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	903734	903734	4.426081	1.000000	4.426081	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	438704	438704	9.117765	1.000000	9.117765	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	8000000	1192247	1192247	6.710019	1.000000	6.710019	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	10076	10076	396.982930	1.000000	396.982930	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	235567	235567	16.980307	1.000000	16.980307	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:118, DICTIONARY_PAGE/PLAIN:118	1000000	4000000	228974	228974	17.469232	1.000000	17.469232	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:248	1000000	88562192	92661382	92661382	0.955762	1.000000	0.955762	88563396
