column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	8000000	8004989	8004989	0.999377	1.000000	0.999377	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	202606	202606	19.742752	1.000000	19.742752	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:296	1000000	138409995	142889126	142889126	0.968653	1.000000	0.968653	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	48829	48829	81.918532	1.000000	81.918532	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:123, DICTIONARY_PAGE/PLAIN:123	1000000	8000000	7397802	7397802	1.081402	1.000000	1.081402	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	65429	65429	61.134971	1.000000	61.134971	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	55082	55082	72.619004	1.000000	72.619004	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	3759894	3759894	1.063860	1.000000	1.063860	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1491996	1491996	2.680972	1.000000	2.680972	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	8000000	4412780	4412780	1.812916	1.000000	1.812916	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	47589	47589	84.053037	1.000000	84.053037	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	851747	851747	4.696230	1.000000	4.696230	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	692910	692910	5.772755	1.000000	5.772755	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:238	1000000	88562192	92664577	92664577	0.955729	1.000000	0.955729	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:236	1000000	79583339	83654018	83654018	0.951339	1.000000	0.951339	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	238372	238372	16.780494	1.000000	16.780494	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1871305	1871305	2.137546	1.000000	2.137546	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1374329	1374329	2.910511	1.000000	2.910511	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1090522	1090522	3.667968	1.000000	3.667968	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	728308	728308	5.492182	1.000000	5.492182	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1290574	1290574	3.099396	1.000000	3.099396	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:123	1000000	4000000	1348087	1348087	2.967168	1.000000	2.967168	3407277
