column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	8000000	9714279	9714279	0.823530	1.000000	0.823530	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	85264	85264	46.913117	1.000000	46.913117	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:353	1000000	138409995	142891360	142891360	0.968638	1.000000	0.968638	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	9993	9993	400.280196	1.000000	400.280196	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:117	1000000	8000000	3386275	3386275	2.362478	1.000000	2.362478	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:117	1000000	4000000	64218	64218	62.287832	1.000000	62.287832	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	10036	10036	398.565165	1.000000	398.565165	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	905933	905933	4.415338	1.000000	4.415338	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	438788	438788	9.116020	1.000000	9.116020	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	8000000	1193607	1193607	6.702374	1.000000	6.702374	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	9993	9993	400.280196	1.000000	400.280196	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	235311	235311	16.998780	1.000000	16.998780	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	230300	230300	17.368650	1.000000	17.368650	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:255	1000000	88562192	92662373	92662373	0.955751	1.000000	0.955751	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:225	1000000	79583339	83650505	83650505	0.951379	1.000000	0.951379	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	98231	98231	40.720343	1.000000	40.720343	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	490226	490226	8.159502	1.000000	8.159502	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	357795	357795	11.179586	1.000000	11.179586	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	159307	159307	25.108752	1.000000	25.108752	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	77962	77962	51.307047	1.000000	51.307047	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	351141	351141	11.391435	1.000000	11.391435	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	363574	363574	11.001887	1.000000	11.001887	3407277
ResolutionDepth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	116462	116462	34.345967	1.000000	34.345967	1994256
FlashMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	91794	91794	43.575833	1.000000	43.575833	1923540
FlashMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	221587	221587	18.051601	1.000000	18.051601	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:117	1000000	3354477	7361358	7361358	0.455687	1.000000	0.455687	3354477
NetMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	42231	42231	94.717151	1.000000	94.717151	1000000
NetMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	37555	37555	106.510451	1.000000	106.510451	1000000
UserAgentMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:117, DICTIONARY_PAGE/PLAIN:117	1000000	4000000	286683	286683	13.952693	1.000000	13.952693	1885645
