column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010972	8010972	0.998630	1.000000	0.998630	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:214	1000000	138409995	140064095	140064095	0.988190	1.000000	0.988190	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008608	4008608	0.997853	1.000000	0.997853	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:139, DICTIONARY_PAGE/PLAIN:139	1000000	8000000	7380326	7380326	1.083963	1.000000	1.083963	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:139, DICTIONARY_PAGE/PLAIN:139	1000000	4000000	11871	11871	336.955606	1.000000	336.955606	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008605	4008605	0.997853	1.000000	0.997853	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008614	4008614	0.997851	1.000000	0.997851	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	8000000	8010973	8010973	0.998630	1.000000	0.998630	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008610	4008610	0.997852	1.000000	0.997852	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008606	4008606	0.997853	1.000000	0.997853	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008611	4008611	0.997852	1.000000	0.997852	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:145	1000000	88562192	89795968	89795968	0.986260	1.000000	0.986260	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:141	1000000	79583339	80841477	80841477	0.984437	1.000000	0.984437	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008608	4008608	0.997853	1.000000	0.997853	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008613	4008613	0.997851	1.000000	0.997851	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:139	1000000	4000000	4008607	4008607	0.997853	1.000000	0.997853	4525496
