column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	8000000	8010813	8010813	0.998650	1.000000	0.998650	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008491	4008491	0.997882	1.000000	0.997882	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:213	1000000	138409995	140066069	140066069	0.988176	1.000000	0.988176	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008505	4008505	0.997878	1.000000	0.997878	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:137	1000000	8000000	3393846	3393846	2.357208	1.000000	2.357208	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008496	4008496	0.997881	1.000000	0.997881	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008500	4008500	0.997880	1.000000	0.997880	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008496	4008496	0.997881	1.000000	0.997881	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008504	4008504	0.997879	1.000000	0.997879	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	8000000	8010815	8010815	0.998650	1.000000	0.998650	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008497	4008497	0.997880	1.000000	0.997880	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008498	4008498	0.997880	1.000000	0.997880	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008498	4008498	0.997880	1.000000	0.997880	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:145	1000000	88562192	89795275	89795275	0.986268	1.000000	0.986268	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:141	1000000	79583339	80843047	80843047	0.984418	1.000000	0.984418	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008501	4008501	0.997879	1.000000	0.997879	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008500	4008500	0.997880	1.000000	0.997880	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008494	4008494	0.997881	1.000000	0.997881	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008505	4008505	0.997878	1.000000	0.997878	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008497	4008497	0.997880	1.000000	0.997880	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008498	4008498	0.997880	1.000000	0.997880	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008497	4008497	0.997880	1.000000	0.997880	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008497	4008497	0.997880	1.000000	0.997880	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008495	4008495	0.997881	1.000000	0.997881	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008502	4008502	0.997879	1.000000	0.997879	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3354477	3714769	3714769	0.903011	1.000000	0.903011	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008504	4008504	0.997879	1.000000	0.997879	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008495	4008495	0.997881	1.000000	0.997881	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008502	4008502	0.997879	1.000000	0.997879	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3767530	4023698	4023698	0.936335	1.000000	0.936335	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008504	4008504	0.997879	1.000000	0.997879	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008501	4008501	0.997879	1.000000	0.997879	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008497	4008497	0.997880	1.000000	0.997880	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008497	4008497	0.997880	1.000000	0.997880	1001922
MobilePhoneModel	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	81583	236490	236490	0.344974	1.000000	0.344974	81583
Params	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	0	45263	45263	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008501	4008501	0.997879	1.000000	0.997879	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008499	4008499	0.997880	1.000000	0.997880	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008501	4008501	0.997879	1.000000	0.997879	1006573
SearchPhrase	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	3528017	4236553	4236553	0.832756	1.000000	0.832756	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008500	4008500	0.997880	1.000000	0.997880	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008502	4008502	0.997879	1.000000	0.997879	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008502	4008502	0.997879	1.000000	0.997879	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008495	4008495	0.997881	1.000000	0.997881	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008498	4008498	0.997880	1.000000	0.997880	2989177
ClientEventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:137	1000000	8000000	3514202	3514202	2.276477	1.000000	2.276477	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008492	4008492	0.997881	1.000000	0.997881	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008504	4008504	0.997879	1.000000	0.997879	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008500	4008500	0.997880	1.000000	0.997880	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008498	4008498	0.997880	1.000000	0.997880	1000000
PageCharset	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:137	1000000	13587860	13670375	13670375	0.993964	1.000000	0.993964	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	4000000	4008498	4008498	0.997880	1.000000	0.997880	3997297
